湖南电信,#genre#
第一剧场HD,http://118.255.77.168:8887/udp/239.76.254.49:9000
风云足球HD,http://118.255.77.168:8887/udp/239.76.254.52:9000
风云音乐HD,http://118.255.77.168:8887/udp/239.76.254.51:9000
风云剧场HD,http://118.255.77.168:8887/udp/239.76.254.50:9000
女姓时尚HD,http://118.255.77.168:8887/udp/239.76.254.55:9000
央视文化精品HD,http://118.255.77.168:8887/udp/239.76.254.56:9000
世界地理HD,http://118.255.77.168:8887/udp/239.76.254.57:9000
兵器科技HD,http://118.255.77.168:8887/udp/239.76.254.59:9000
央视台球HD,http://118.255.77.168:8887/udp/239.76.254.58:9000
怀旧剧场HD,http://118.255.77.168:8887/udp/239.76.254.53:9000
电视指南HD,http://118.255.77.168:8887/udp/239.76.254.61:9000
央视高尔夫HD,http://118.255.77.168:8887/udp/239.76.254.62:9000
北京少儿HD,http://118.255.77.168:8887/udp/239.76.254.81:9000
IPTV戏剧HD,http://118.255.77.168:8887/udp/239.76.253.40:9000
IPTV故事HD,http://118.255.77.168:8887/udp/239.76.253.41:9000
IPTV健康之路HD,http://118.255.77.168:8887/udp/239.76.253.42:9000
CGTN俄语HD,http://118.255.77.168:8887/udp/239.76.253.86:9000
CGTN法语HD,http://118.255.77.168:8887/udp/239.76.253.87:9000
CGTN阿拉伯语HD,http://118.255.77.168:8887/udp/239.76.253.97:9000
CGTN西班牙语HD,http://118.255.77.168:8887/udp/239.76.253.88:9000
CCTV-4美洲,http://118.255.77.168:8887/udp/239.76.253.96:9000
CCTV-4欧洲,http://118.255.77.168:8887/udp/239.76.253.95:9000
湖南卫视HD,http://118.255.77.168:8887/udp/239.76.251.85:9000
湖南卫视HD,http://118.255.77.168:8887/udp/239.76.253.101:9000
湖南国际HD,http://118.255.77.168:8887/udp/239.76.253.102:9000
湖南国际HD,http://118.255.77.168:8887/udp/239.76.252.240:9000
湖南卫视FHD,http://118.255.77.168:8887/udp/239.76.253.100:9000
湖南经视HD,http://118.255.77.168:8887/udp/239.76.251.86:9000
湖南经视HD,http://118.255.77.168:8887/udp/239.76.253.103:9000
湖南都市HD,http://118.255.77.168:8887/udp/239.76.253.104:9000
湖南娱乐HD,http://118.255.77.168:8887/udp/239.76.253.105:9000
湖南电影HD,http://118.255.77.168:8887/udp/239.76.253.106:9000
湖南电视剧HD,http://118.255.77.168:8887/udp/239.76.253.108:9000
金鹰卡通HD,http://118.255.77.168:8887/udp/239.76.253.107:9000
湖南公共HD,http://118.255.77.168:8887/udp/239.76.253.109:9000
金鹰纪实HD,http://118.255.77.168:8887/udp/239.76.253.110:9000
长沙新闻HD,http://118.255.77.168:8887/udp/239.76.253.121:9000
长沙政法HD,http://118.255.77.168:8887/udp/239.76.253.122:9000
芒果汽车HD,http://118.255.77.168:8887/udp/239.76.253.123:9000
体育HD,http://118.255.77.168:8887/udp/239.76.253.136:9000
CCTV-1,http://118.255.77.168:8887/udp/239.76.251.87:9000
CCTV-1,http://118.255.77.168:8887/udp/239.76.253.151:9000
CCTV-2,http://118.255.77.168:8887/udp/239.76.253.152:9000
CCTV-3,http://118.255.77.168:8887/udp/239.76.253.153:9000
CCTV-4,http://118.255.77.168:8887/udp/239.76.253.95:9000
CCTV-4,http://118.255.77.168:8887/udp/239.76.253.154:9000
CCTV-5,http://118.255.77.168:8887/udp/239.76.253.155:9000
CCTV-5,http://118.255.77.168:8887/udp/239.76.247.214:1234
CCTV-5+,http://118.255.77.168:8887/udp/239.76.251.88:9000
CCTV-5+,http://118.255.77.168:8887/udp/239.76.253.168:9000
CCTV-6,http://118.255.77.168:8887/udp/239.76.253.156:9000
CCTV-7,http://118.255.77.168:8887/udp/239.76.253.157:9000
CCTV-8,http://118.255.77.168:8887/udp/239.76.253.158:9000
CCTV-9,http://118.255.77.168:8887/udp/239.76.253.159:9000
CCTV-10,http://118.255.77.168:8887/udp/239.76.253.160:9000
CCTV-12,http://118.255.77.168:8887/udp/239.76.253.162:9000
CCTV-13,http://118.255.77.168:8887/udp/239.76.253.93:9000
CCTV-13,http://118.255.77.168:8887/udp/239.76.251.84:9000
CCTV-14,http://118.255.77.168:8887/udp/239.76.253.164:9000
CCTV-15,http://118.255.77.168:8887/udp/239.76.252.252:9000
CCTV-16,http://118.255.77.168:8887/udp/239.76.253.98:9000
CCTV-16,http://118.255.77.168:8887/udp/239.76.246.168:1234
CCTV-16,http://118.255.77.168:8887/udp/239.76.253.214:9000
CCTV-16,http://118.255.77.168:8887/udp/239.76.254.200:9000
CCTV-16,http://118.255.77.168:8887/udp/239.76.253.224:9000
CCTV-16,http://118.255.77.168:8887/udp/239.76.253.230:9000
CCTV-17,http://118.255.77.168:8887/udp/239.76.252.238:9000
江苏卫视HD,http://118.255.77.168:8887/udp/239.76.253.181:9000
江苏卫视HD,http://118.255.77.168:8887/udp/239.76.251.89:9000
浙江卫视HD,http://118.255.77.168:8887/udp/239.76.253.182:9000
北京卫视HD,http://118.255.77.168:8887/udp/239.76.253.184:9000
天津卫视HD,http://118.255.77.168:8887/udp/239.76.253.185:9000
天津卫视HD,http://118.255.77.168:8887/udp/239.76.251.92:9000
东方卫视HD,http://118.255.77.168:8887/udp/239.76.253.186:9000
深圳卫视HD,http://118.255.77.168:8887/udp/239.76.253.188:9000
湖北卫视HD,http://118.255.77.168:8887/udp/239.76.253.193:9000
山东卫视HD,http://118.255.77.168:8887/udp/239.76.253.195:9000
黑龙江卫视HD,http://118.255.77.168:8887/udp/239.76.253.200:9000
吉林卫视HD,http://118.255.77.168:8887/udp/239.76.253.201:9000
河南卫视HD,http://118.255.77.168:8887/udp/239.76.253.202:9000
海南卫视HD,http://118.255.77.168:8887/udp/239.76.253.203:9000
四川卫视HD,http://118.255.77.168:8887/udp/239.76.253.91:9000
