重庆电信,#genre#
重庆卫视,http://116.23.139.220:4022/udp/239.77.1.162:5146
重庆卫视,http://116.23.139.220:4022/udp/239.77.1.210:5146
重庆卫视,http://116.23.139.220:4022/udp/239.77.0.182:5146
河北卫视,http://116.23.139.220:4022/udp/239.77.0.64:5146
河北卫视,http://116.23.139.220:4022/udp/239.77.1.60:5146
河北卫视,http://116.23.139.220:4022/udp/239.77.1.214:5146
河北卫视,http://116.23.139.220:4022/udp/239.77.0.148:5146
东南卫视,http://116.23.139.220:4022/udp/239.77.0.65:5146
东南卫视,http://116.23.139.220:4022/udp/239.77.1.1:5146
东南卫视,http://116.23.139.220:4022/udp/239.77.1.213:5146
东南卫视,http://116.23.139.220:4022/udp/239.77.1.104:5146
福建东南卫视,http://116.23.139.220:4022/udp/239.77.1.104:5146

广东卫视,http://14.153.215.108:4022/udp/239.77.1.19:5146
广东卫视,http://14.153.215.108:4022/udp/239.77.1.152:5146
广东卫视,http://14.153.215.108:4022/udp/239.77.0.84:5146
广东卫视,http://14.153.215.108:4022/udp/239.77.0.166:5146
广东珠江,http://14.153.215.108:4022/udp/239.77.0.1:5146
